Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
Factótum		Charles Bukowski. Pedro Gonzaga	9788525416612	2011	176	pt-BR		Durante a Segunda Guerra Mundial. Henry Chinaski é considerado 'inapto para o serviço militar' e não consegue entrar para o exército. Assim. enquanto os Estados Unidos se unem em torno da guerra e os homens alistados são vistos como heróis. Chinaski. sem emprego. sem profissão nem perspectiva. cruza o país. arranjando bicos e trampos. fazendo de tudo um pouco. na tentativa de subsistir com empregos que não se interponham entre ele e seu grande amor - escrever. Em meio a tragos. perambulações por ruas marginais. tentativas de ser publicado. vivendo da mão para a boca. o autor iniciante Henry Chinaski come o pão que o diabo amassou.	
Cartas na rua		Charles Bukowski. Pedro Gonzaga	9788525424495	2011	185	pt-BR		Pela voz de Henry Chinaski. seu alter ego. Bukowski narra suas memórias como funcionário dos Correios no início dos anos 1950.	
PULP		CHARLES BUKOWSKI. MARCOS SANTARRITA	9788525418630		176	pt-BR		A saga de Nick Belane poderia até ser igual a de tantos outros detetives de segunda categoria que perambulam pelas largas ruas de Los Angeles. Mas aqui. mulheres inacreditáveis cruzam pernas compridas e falam aos sussurros. principalmente uma que atende pelo nome de Dona Morte.	
O capitão saiu para o almoço e os marinheiros tomaram conta do navio		Charles Bukowski	9788525412102	2003	156	pt-BR		Publicado nos Estados Unidos quatro anos após a morte de Bukowski. em 1998. sob o título original de 'Captain is out to lunch and the sailors have taken the ship'. esse livro é o último canto desesperado do 'velho safado'. Contém trechos de seu diário de agosto de 1991 até fevereiro de 1993. selecionados por ele próprio dias antes de morrer. em 9 de março de 1994. No texto são comentados alguns episódios frugais. como o hábito de apostar em corrida de cavalos. encontros com figuras marginais e desiludidas como ele próprio. mas a espinha dorsal de 'O capitão saiu para o almoço e os marinheiros tomaram conta do navio' são as cruas reflexões filosóficas sobre a vida. sobre a natureza e miséria humanas.	
			9788525427502						
Hollywood		Charles Bukowski	9788525408754	2007	245	pt-BR		Hollywood' foi escrito a partir da experiência de Bukowski ao fazer o argumento para o filme Barfly (direção de Barbet Schroeder. com Mickey Rourke e Faye Dunaway). onde ele narra a história de um escritor que ganha um bom dinheiro para escrever um roteiro para o cinema. Alguns de seus diálogos são memoráveis e a violência de sua linguagem geralmente oculta uma indisfarçável ternura pelos perdedores e excluídos.	
			9788525415608						
Ao sul de lugar nenhum	histórias da vida subterrânea	Charles Bukowski. Pedro Gonzaga	9788525420671	2010	238	pt-BR		"Sob o signo da solidão. do isolamento. da alienação e da marginalização. o que se apresenta neste livro são reflexões sobre personagens que desistiram da sociedade e talvez até de si mesmos. A essas massas silenciosas geralmente rotuladas como 'bêbados'. 'vagabundos' e 'perdedores'. Bukowski empresta sua voz e mostra que. sim. também essas pessoas têm esperanças. anseios e até mesmo sonhos. ainda que esses sonhos não se enquadrem nos padrões normalmente aceitos. Nestes contos. afloram o humor cáustico do autor. Muitas histórias são narradas e protagonizadas por Henry Chinaski. o alter ego do escritor. É o caso. por exemplo. do conto 'Política'. em que Chinaski banca o nazista na escola. em plena Segunda Guerra. pois não aguenta mais ouvir discursos patrióticos pró-aliados; e 'Lembra de Pearl Harbor?'. em que é recusado pelo exército americano durante a mesma guerra. em um episódio de marginalização da sua vida."	
Desenhar no espaço	artistas abstratos do Brasil e da Venezuela na Coleção Patricia Phelps de Cisneros	Ariel Jiménez. Paulo Herkenhoff	9788589680165	2010-01-01	243	en			
What to Expect the Toddler Years		Arlene Eisenberg. Heidi Murkoff. Sandee Hathaway	9780207180187	1995	904	en		"In a direct continuation of What to Expect When You're Expecting and What to Expect in the First Year. Australia's most trusted pregnancy and childcare books. comes an allinclusive guide for parents and toddlers. Complete with information on selfesteem; emotional. physical. and social development; discipline; eccentric behaviours; and making time for yourself in the midst of it all. Support and Reassurance for Hundreds of Concerns. * How can I get my toddler talking?. * How can I be sure my toddler is eating right?. * Is there a way to head off my twoyearold's tantrums?. * My husband and I need a weekend away. Should we wait for our child's consent?. * Is preschool really necessary?. * How can we help our son overcome his fears?. * Our daughter is turning three and won't even look at a potty. What can we do?"	http://books.google.com/books/content?id=JUs-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788508167197						
			9788501018526						
Guignard	um mundo a perder de vista	Alberto da Veiga Guignard. José Augusto Ribeiro	9788589680073	2008*	75	en			
Carlos Vergara	Rio de Janeiro. 1972-1976	Carlos Vergara. Paulo Sérgio Duarte. Sílvia Roesler	9788588720046	2007-01-01	157	en		Este livro apresenta o conjunto da obra do artista plástico Carlos Vergara. um registro dos 40 anos de sua carreira.	
Era uma vez Dom Quixote		Miguel de Cervantes Saavedra. Marina Colasanti. NIVIO LOPEZ VIGIL	9788526010147	2005	112	pt-BR		Era uma vez Dom Quixote' é uma fascinante adaptação que permite ao leitor sua incursão no mundo da fantasia e no espírito aventureiro de Dom Quixote e de seu fiel escudeiro Sancho Pança. dois impetuosos cidadãos do mundo. O clássico de Cervantes fascinou de tal maneira a Agustín Sánchez Aguilar. que este. certamente. o indicou para muita gente e. tendo consciência de que a linguagem original do texto não é adequada para crianças e jovens. não pensou duas vezes - fez uma adaptação para que os jovens também possam ter acesso à fascinante festa do nosso herói de La Mancha. Essa adaptação de Sánchez Aguilar tem a clara intenção de delinear a peculiaridade de cada um dos personagens e suas mais divertidas aventuras. destacadas na primeira parte do romance integral. além de permitir que entre em todos os poros do jovem leitor o espírito do Quixote e de sua arrebatadora vocação cômica. seu desejo de confrontar a realidade e o sonho e seu mágico talento para descrever com precisão os seres humanos. Para tornar o texto ainda mais atraente. este livro tem a tradução da escritora e ensaísta Marina Colasanti que. como ninguém. sabe escrever e cativar os jovens.	
			9788534523028						
Vidas secas		Graciliano Ramos	9788501005588	1992	155	pt-BR			
Viagem aos seios de Duília	recontando contos e outras histórias	Gentil Corazza	9788565909112	2012	128	pt-BR		Em março de 2004. ao visitar o Museu Picasso. em Paris. o autor deste livro viu uma exposição de desenhos e quadros mostrando como Picasso aprendeu a pintar copiando a pintura de Ingres. O que mais o impressionou foi ver a evolução do estilo de Picasso. Os primeiros quadros se pareciam muito com os de Ingres. mas no final eram essencialmente Picasso. Foi aí que nasceu a ideia de escrever a obra.	
LILI. A BRUXA	VIRA A ESCOLA DE PERNAS PARA O AR	KNISTER. BIRGIT RIEGER. SERGIO TELLAROLI	9788578270704		96	pt-BR		Ninguém sabe como o livro da bruxa Surulunda Knorx foi parar ao lado da cama da Lili. O fato é que. depois de treinar um pouquinho. a menina saiu por aí aplicando as magias e os truques do livro de bruxaria. e acabou virando uma espécie de bruxa secreta. E a confusão começa quando Lili resolve aplicar seus feitiços na escola.	
Prezado Ronaldo		Flávio Carneiro. Daniel Bueno	9788576751366	2006	127	pt-BR		Prezado Ronaldo'. do escritor. crítico literário e roteirista goiano Flávio Carneiro. é formado pelo conjunto das cartas do garoto Artur. o Pingüim. enviadas ao seu ídolo Ronaldo (Fenômeno). Pingüim começa a estabelecer uma correspondência imaginária com o jogador. contando a ele pequenos episódios de seu cotidiano - sua amizade com Parede - um personagem envolvente -. a relação com o vizinho Seu Almeida. dono de uma grande biblioteca e que faz com o menino exercícios 'literários'. a escola. a primeira namorada...	
			9788580572476						
Cartão de Crédito Private Label	A arma de crédito na mão do varejo	André Alexandre Alves. Octaviano M. de S. Menezes	9788575221150	2007-04-09	176	pt-BR		Muito se fala a respeito dos cartões Private Label. A cada ano. são realizadas inúmeras palestras. entrevistas com especialistas e divulgadas matérias em diversos jornais e revistas sobre o assunto. De 2000 a 2005. o volume de transações de cartões de crédito e cartões Private Label aumentou 100% e 136%. respectivamente. fazendo com que. no Brasil. encerrássemos o primeiro semestre de 2006 com 105 milhões de cartões de loja contra 73 milhões de cartões de crédito. O produto é tão importante que no terceiro trimestre de 2006 representou 72.4% das vendas das Lojas Renner. varejista do segmento de confecções com sede em Porto Alegre. Esse livro procura resumir. desmistificar e conceitualizar o produto de uma forma didática. utilizando informações e exemplos de mercado. O livro constitui-se como a primeira obra a respeito do tema e é destinado a profissionais dos segmentos de cartões. varejistas. financeiras. bancos. estudantes de administração e marketing e interessados pelo tema. Ao final do livro. é apresentada uma seção de Perguntas e Respostas com profissionais de mercado com larga experiência no Produto.	http://books.google.com/books/content?id=3n5-n7pma0oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
			9788535926439						
			9788506061350						
A Grande Esperança			9788534514088	2011	105	pt-BR			http://books.google.com/books/content?id=ZnQKWjAXVLQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
			9788501041470						
O enorme livro dos pensamentos de Casseta & Planeta	as melhores frases. pensamentos e palpites da turma do Casseta & Planeta urgente	CASSETA & PLANETA	9788501042880	1996	157	pt-BR		Bobagem não tem tamanho! O livro traz mais abobrinhas. piadas. ilustrações e histórias dessa turma debochada que não perdoa ninguém.	
			9788573749328						
			9788576656777						
			9788501056481						
As cidades invisíveis		Italo Calvino	9788571641495	2000	150	pt-BR		Se meu livro As cidades invisíveis continua sendo para mim aquele em que penso haver dito mais coisas. será talvez porque tenha conseguido concentrar em um único símbolo todas as minhas reflexões. experiências e conjeturas. Assim se refere o próprio Italo Calvino - um dos escritores mais importantes e instigantes da segunda metade do século XX - a este livro surpreendente. em que a cidade deixa de ser um conceito geográfico para se tornar o símbolo complexo e inesgotável da existência humana.Prêmio Jabuti 1993 de Melhor Produção Editorial de Obra em Coleção	
Meus livros. meus filmes e tudo mais		Cláudia Laitano	9788525427434	2013	183	pt-BR		Além de suas crônicas. este livro procura trazer também dicas - de livros. filmes e discos. A autora busca dessacralizar e tirar do pedestal as obras de arte. falar de filósofos gregos. de clássicos da literatura. e. assim. pretende conferir às coisas da arte a melhor leitura e o melhor aproveitamento possíveis. Os livros de filhos sobre pais. sobre a proximidade da morte. biografias de músicos. os filmes sobre crianças - com 'Meus livros. meus filmes e tudo mais' o leitor poderá incrementar sua lista de títulos para ler. filmes para ver e músicas para ouvir antes de morrer.	
Futebol no país da música		Beto Xavier	9788588948822	2009	275	pt-BR		Faz pouco mais de um século que o futebol se popularizou e. assim. se aproximou do que já estava havia muito tempo no domínio gostoso do povo - a música popular brasileira de origens africana e açoriana. e que logo passou a ter influências europeias. Mesmo provinda. em alguns casos. de ritmos não tão populares como a polca. a música sempre foi popular. Mas a música da elite era outra. de outro ritmo - a erudita. Mas que estou eu a falar do que não entendo se não por gosto e admiração?!	
Raptado		Robert Louis Stevenson. LUCIANO VIEIRA MACHADO	9788508063765	2002	244	pt-BR		Quando o pai de David Balfour morre. ele fica sob tutela do tio. um homem inescrupuloso que manda seqüestrar e aprisionar o garoto. A fuga de David é uma emocionante aventura. com naufrágio. assassinatos e outros perigos.	
			9795397055047						
Avaliação da educação superior e seus atores		Marlis Morosini Polidori	9785397036610	2013	168	pt-BR			
Dicionário do viajante insólito		Moacyr Scliar	9788525404688	1995	120	pt-BR			http://books.google.com/books/content?id=OrktAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788538087656						
Aquele estranho dia que nunca chega		Luís Fernando Veríssimo	9788573022759	1999	238	pt-BR			http://books.google.com/books/content?id=d60tAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788580410259						
			9788571646667						
É para isso que não servem os amigos		Jim Benton	9788576768609	2010	131	pt-BR		Agora Jamie e Angelina são amigas. Essa é uma Amizade Automática. que Jamie tem que aceitar e fazer dela a melhor possível. Entenda. se ela fosse contra. a tia Carol poderia se divorciar do tio da Angelina. o que deixaria os dois numa depressão profunda pelo resto de suas vidas. e a Angelina se sentiria tão culpada que teria que ser internada em um hospício velho e sujo. por muitos e muitos anos. e então os filhotes do Fedido iriam crescer sem poder visitar a mãe. e Jamie faria uma crueldade dessas com um cachorrinho.	
			9788539500987						
Harry Potter	The Complete Series	J. K. Rowling	9780545139700	2008		en		Collects the complete series that relates the adventures of young Harry Potter. who attends Hogwarts School of Witchcraft and Wizardry. where he and others of his kind learn their craft.	
			9788589489782						
Histórias coloradas	as 100 melhores historias campeãs da América	Aleco Mendes	9788589344463	2006	167	pt-BR			
O quinto poder	consciência social de uma nação	Lilian Dreyer. Maria Elena Pereira Johannpeter	9788525417596	2008	323	pt-BR		Como se forma uma cultura de Solidariedade? Que papel joga a solidariedade na formação da cultura de uma sociedade? Com que conseqüências? Existe diferença entre 'ser solidário' e 'engajar-se como voluntário?'	
Limites sem trauma	construindo cidadãos	Tania Zagury	9788501059949	2001	174	pt-BR		Como. quando e por que dizer 'não' aos filhos. E também como. quando e por que dizer 'sim'. 'Limites sem trauma' traz capítulos divididos por faixas etárias. O livro 'descomplica' o dia a dia da família e indica as necessidades das crianças em cada etapa do desenvolvimento - sempre relacionadas às respectivas tarefas dos pais em relação aos limites. O objetivo da obra é dar segurança. embasamento técnico e diretrizes educacionais aos pais. livrando-os da culpa e da insegurança que os afligem.	
			9788555791154						
			9788575423318						
De homem pra homem	guia de sobrevivência para solteiros e descasados na cozinha : recomendado tambén para mulheres	Osmar Chor. Rafael Casé	9788532620224	1998	147	pt-BR		Guia de sobrevivência para solteiros e descasados na cozinha. Um manual de culinária feito por homens e destinado a homens. sem ser machista. Um manual completo que. além de ensinar tudo sobre alimentos e cozinha. ensina também a pôr e servir a mesa para se degustar o produto do trabalho do cozinheiro.	
			9788525410276						
Genkouyoushi Notebook	Genkouyoushi Notebook Large Japanese Kanji. Hiragana. Katakana Practice Notebook with Marble Cover. 8. 5 X 11 in 120 Pages	Small Small Jabir	9798508057459	2021-05-21	120	en		? This stylish traditional notebook style workbook contains 120 pages of kanji paper. also known as genkouyoushi paper. Each large square holds one character and each square is divided into four quadrants to guide the correct positioning of the elements of each character. ? This notebook is ideal for both adults and children who are learning Japanese and need to practice the written language. ?Master the kanji characters and the hiragana and katakana scripts. ? These large 8.5 inch by 11 inch Japanese writing practice notebooks consist of 120 pages.	
Crianças Índigo		LEE CARROLL	9788588477469			en			http://books.google.com/books/content?id=iFPb1A9bHx4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
			9788588007772						
Uma Professora Muito Maluquinha		Ziraldo	9788506059616	2011	116	pt-BR		Este livro traz a história de uma professora que tinha um jeito todo seu de entender o mundo e um modo que todos achavam muito maluquinho de mostrá-lo aos meninos e meninas de uma escola do interior. ensinando-as a serem mais felizes.	
			9788580415346						
			9788580415087						
Dicionário temático de biologia		David Burnie	9788526232921	1997	192	pt-BR			
Dicionário de regionalismos do Rio Grande do Sul		Zeno Cardoso Nunes. Rui Cardoso Nunes	9788586232046	1990	552	pt-BR		Trata de uma obra com mais de 6.800 termos e expressões gaúcha. É fecunda em termos e modismos. ensejando uma ampla visão do panorama dialetal gaúcho.	
O elo de Rapa Nui	nos ritos da mítica Ilha de Páscoa	LOTY GER	9788587171016	1999	255	pt-BR		Um casal de jornalistas dirige-se à Ilha de Páscoa. onde tentam desvendar diversos mistérios. um. inclusive. a respeito deles. É a personagem mitológica Sephira. que transcende no tempo e no espaço. que estabelece a ligação entre as quatro fases que a Ilh	
Mil dias em Veneza		Marlena De Blasi. FERNANDA ABREU	9788575425602	2010	232	pt-BR		Este livro traz uma história de amor verídica - o amor entre uma mulher e um homem. o amor pela comida e o amor por uma cidade. Por muito tempo. Marlena de Blasi resistiu a ir a Veneza. Até que. em 1989. seu trabalho como chef e crítica gastronômica tornou impossível continuar adiando a viagem. Seu encantamento foi tão grande que decidiu voltar todos os anos. Desde aquela primeira visita. Marlena tinha a sensação de que estava indo a um encontro. Em 1993. o encontro finalmente aconteceu. Ela almoçava com amigos quando um garçom se aproximou e lhe disse que havia uma ligação para ela. Do outro lado da linha estava Fernando. um veneziano que. um ano antes. vira Marlena passeando pela Piazza San Marco e se apaixonara à primeira vista. Alguns meses depois. Marlena largava toda a sua vida nos Estados Unidos e se mudava para Veneza. para se casar com o 'estranho'. como costumava chamar Fernando. Ele não falava quase nada de inglês. O italiano dela se resumia a algumas palavras relacionadas a comida. Ele abrira mão de seus sonhos e levava uma vida considerada monótona e previsível. Ela era mestre em recomeçar e se reinventar. Ele gostava de tudo muito simples. inclusive as refeições. Ela adorava cozinhar pratos elaborados. Em 'Mil dias em Veneza'. Marlena evoca as imagens. os sons e os aromas de uma da cidade e divide com os leitores as receitas que estiveram presentes em alguns dos momentos considerados como mais importantes de sua vida.	
Lampião E Maria Bonita	UMA HISTÓRIA DE AMOR ENTRE BALAS	Wagner Barreira	9788542214536	2018-10-20	224	pt-BR		Lampião é um sujeito raríssimo cuja história não se encerra. Circunscrito a seu ambiente. o semiárido nordestino. Virgulino Ferreira da Silva. bandido. assassino. terrível. encontrou Maria da Déa. casada. inquieta. aventureira. A união da dupla e a vida entre seus seguidores apresentou ao país. preocupado em ser moderno. uma forma diferente. assustadora e sedutora de viver. Gênio militar inato. galanteador. sábio. pernóstico. malvado. justo... Quantas pessoas foram capazes de reunir tantos defeitos e qualidades? Quantas mulheres abandonaram tudo para seguir o grande amor? Testemunhada. contada. recontada. reescrita. a vida e o amor de Lampião e Maria Bonita. um legítimo romance de aventura. só podem ser projetados como ficção coletiva. erguido sobre as fundações deixadas por tantos outros narradores que se aventuraram a contar seu romance. A saga dos dois é uma história verdadeira que. até hoje. alimenta a mística do cangaço e continua mexendo com o imaginário popular.	
Prezados ouvintes	histórias do rádio e do pop rock : da criação da Ipanema ao Cafezinho	Mauro Borba	9788574210711	2001	141	pt-BR			http://books.google.com/books/content?id=DYRaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
11 de Setembro		Noam Chomsky	9788528608618	2002	160	pt-BR		Reproduz uma série de entrevistas feitas com Noam Chomsky. por diversos jornalistas. no período de um mês que se seguiu aos atentados de 11 de setembro de 2001 ao World Trade Center e ao Pentágono.	
			9788590834748						
			9788563560315						
			9788526221857						
Como Vai Seu Sono? - Parte II			9788574970806			en			http://books.google.com/books/content?id=Lzl_DoXM_pAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
O caso Saint-Fiacre		Georges Simenon	9788525413284	2004	166	pt-BR		O comissário Maigret volta à sua cidade natal. onde ainda se mantém de pé o velho castelo em que seu pai trabalhou como administrador e onde ele. Maigret. passou toda a infância. Vai investigar a misteriosa morte da condessa de Saint-Fiacre. proprietária do castelo. Ao analisar o crime. cometido em plena missa de Finados. Maigret precisa encarar a decadência dos poderosos Saint-Fiacre e rever figuras que povoaram sua infância.	
			9788570150073						
			9788525418722						
Judy Moody Quer A Fama!		Megan Mcdonald. Peter H. Reynolds. Isa Mara Lando	9788516043421		156	pt-BR		Estando de bons ou de maus modos. sempre inventando moda. essa menina movimenta a vida da família. da vizinhança. da 3a série onde estuda... e conquista o coração de todos. Não há bom humor que resista ao bom-mocismo de Jéssica. a Rainha da Ortografia. E o retrato da sabe-tudo estampado no jornal desencadeia em Judy o desejo da fama. que ela vai perseguir a qualquer custo.	
Os meninos da guerra		Wilson Amaral	9788586269219	2003-01-01	238	pt-BR			
			9788576655206						
			9788501405265						
			9786555522891						
			9788587270177						
O X da questão		Eike Batista. Roberto Dávila	9788575426630	2011	159	pt-BR		Em 'O X da questão'. o empreendedor brasileiro Eike Batista narra suas aventuras desde os maiores sucessos até as experiências que não deram certo e os erros cometidos no curso de projetos vitoriosos. Há lugar também para o que ele qualifica como 'estresses' que o fizeram crescer. a começar pela asma na infância. Eike Batista expõe ainda o arsenal teórico que está na origem de seus negócios.	
Harry Potter and the Half-blood Prince		J. K. Rowling	9780747584674	2006	768	en		"In a brief statement on Friday night. Minister for Magic Cornelius Fudge confirmed that He Who Must Not Be Named has returned to this country and is once more active. ""It is with great regret that I must confirm that the wizard styling himself Lord - well. you know who I mean - is alive and among us again."" said Fudge.' These dramatic words appeared in the final pages of Harry Potter and the Order of the Phoenix. In the midst of this battle of good and evil. Harry Potter and the Half-Blood Prince takes up the story of Harry Potter's sixth year at Hogwarts School of Witchcraft and Wizardry. with Voldemort's power and followers increasing day by day . . ."	http://books.google.com/books/content?id=BvsEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Harry Potter and the Deathly Hallows		J. K. Rowling	9780747595861	2008	831	en		His hand closed automatically around the fake Horcrux. but in spite of everything. in spite of the dark and twisting path he saw stretching ahead for himself. in spite of the final meeting with Voldemort he knew must come. whether in a month. in a year. or in ten. he felt his heart lift at the thought that there was still one last golden day of peace left to enjoy with Ron and Hermione.' With these words Harry Potter and the Half-Blood Prince draws to a close. And here. in this seventh and final book. Harry discovers what fate truly has in store for him as he inexorably makes his way to that final meeting with Voldemort. In this thrilling climax to the phenomenally bestselling series. J.K. Rowling reveals all to her eagerly waiting readers.	http://books.google.com/books/content?id=qEtmPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788537008928						
A Cura De Schopenhauer		Irvin D. Yalom. Schopenhauer	9788500014833	2000-09	340	pt-BR		O diagnóstico de um câncer maligno força o renomado psiquiatra Julius Hertzfeld a fazer um balanço de sua vida e de seu trabalho. A depressão e a tristeza dão lugar à vontade de rever pacientes antigos e à pergunta - será que seu trabalho fez alguma diferença na vida dessas pessoas? Neste novo romance do psiquiatra e escritor de best-sellers Irvin D. Yalom. o leitor irá acompanhar um embate emocionante entre pacientes e terapeuta. em que cada um expõe seus medos. defesas e fraquezas e aprendem a ser mais humanos e felizes.	http://books.google.com/books/content?id=p_7FwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Amor é prosa. sexo é poesia	crônicas afetivas	Arnaldo Jabor	9788573026443	2004	197	pt-BR			http://books.google.com/books/content?id=MkgtAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Pequena abelha		Chris Cleave	9788598078939	2011-12-15	270	pt-BR		Não queremos lhe contar o que acontece nesse livro. É realmente uma história especial. e não queremos estragá-la. Ainda assim. você precisa saber algo para se interessar. por isso vamos dizer apenas o seguinte: Essa é a história de duas mulheres cujas vidas se chocam num dia fatídico. Então. uma delas precisa fazer uma escolha que envolve vida ou morte. Dois anos mais tarde. elas se reencontram. E tudo começa... Depois de ler esse livro. você vai querer comentá-lo com seus amigos. Quando o fizer. por favor. não lhes diga o que acontece. O encanto está sobretudo na maneira como a narrativa se desenrola. Pequena Abelha é o segundo livro de Chris Cleave. Finalista do Prêmio Costa de 2008 como Melhor Obra de Ficção. foi indicado ao Prêmio Commonwealth Writers' como Melhor Livro de 2009.	
Minidicionário Luft		Celso Pedro Luft	9788508069880	2000	688	pt-BR		"Com 40 000 verbetes e subverbetes. é um minidicionario completo. contendo - Maior número de acepções por verbete; Definições claras e concisas; Informações gramaticais nos verbetes; Neologismos e termos de informática; Divisão silábica das entradas."	
Saber envelhecer seguido de Lélio. ou A amizade		Marcus Tullius Cicero	9788525407177	1999	151	pt-BR		Neste livrosobre a velhice. Cícero desenvolve a tese de que a 'arte de envelhecer' é encontrar o prazer que todas as idades proporcionam. pois todas tem as suas virtudes.	
Terapia do professor		Karen Katafiasz	9788534913140	1998	76	pt-BR			
Seu Creysson. Vidia E Obria		Casseta & Planeta (Grupo Humorístico)	9788573024845	2002	106	pt-BR		Nada escapa ao talento empreendedor de Seu Creysson. este homem simples do povo - mas com tutano de gente rica. é claro. Neste livro. em que revela sua vídia i óbria. o personagem mais popular e escrachado do país mostra como e por que a arte da picaretagem não tem limites.	
Pensar é transgredir		Lya Fett Luft	9788501069696	2004	185	pt-BR			http://books.google.com/books/content?id=JW9lAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Porteira fechada		Cyro Martins	9788571950337	2001	151	pt-BR			
			9788471646378						
Ora bolas	o humor de Mario Quintana : 130 historinhas	Juarez Fonseca	9788525415943	2011	160	pt-BR		Ora bolas' é um biografia disfarçada. A partir de episódios protagonizados por Quintana e relatados a Fonseca por amigos. familiares e conhecidos. é possível traçar um perfil de um dos poetas brasileiros e entrar em contato com o humor de Quintana. Os temas são diversos. Há diálogos de Quintana com alguns repórteres que tentaram desafiá-lo. um encontro com Caetano Veloso. lembranças do poeta das redações pelas quais passou. a relação dele com a bebida. as amizades - algumas delas inclusive estremecidas pelas piadas nem sempre oportunas. Outras anedotas comentam as visitas que recebeu dos inúmeros fãs (alguns mais fanáticos do que outros). as impressões de Quintana sobre o cotidiano. a sobrinha Elena. a relação com a Academia Brasileira de Letras. Bruna Lombardi. além de outras que falam de personagens como a da viagem com Luis Fernando Verissimo e a história sobre o parentesco com Jorge Luis Borges.	
JUDY MOODY - A VOLTA AO MUNDO EM 8 1/2 DIAS		MEGAN MCDONALD. PETER H. REYNOLDS. ISA MARA LANDO	9788516054595		176	pt-BR		Judy encontra desvios inesperados no caminho da amizade quando sua classe embarca numa rápida volta ao mundo. investigando desde o palito que serve de escova de dentes no Iêmen até a 'dança da tarântula'. na Itália. Os leitores poderão rir de suas aventuras e desventuras. quando ela dominar a arte de fazer novos amigos - e conservar os antigos.	
			9788535903454						
			9788581632575						
			9788576618638						
			9788587430465						
A Cabana		William P. Young. Alves Calado	9788599296363	2008	236	pt-BR		A filha mais nova de Mackenzie Allen Philip foi raptada durante as férias em família e há evidências de que ela foi brutalmente assassinada e abandonada numa cabana. Quatro anos mais tarde. Mack recebe uma nota suspeita. aparentemente vinda de Deus. convidando-o para voltar àquela cabana e passar o fim de semana. Ignorando alertas de que poderia ser uma cilada. ele segue numa tarde de inverno e volta ao cenário de seu pior pesadelo. O que encontra lá pode mudar sua vida para sempre.	
O enigma do quatro		Ian Caldwell. DUSTIN THOMASON	9788576650300	2005	429	pt-BR		Um misterioso manuscrito codificado. assassinatos violentos e os segredos de um príncipe da Renascença se entrecruzam em um labirinto de traição. loucura e genialidade em 'O Enigma do Quatro'. Com riqueza de detalhes. o livro é baseado na decifração do Hypnerotomachia Poliphili. um dos mais obscuros textos da cultura renascentista. Dele sobraram menos cópias do que da Bíblia de Gutemberg. Os estudiosos continuam a discutir a identidade e intento do autor do Hypnerotomachia. Francesco Colonna. igualmente enigmático. Somente em dezembro de 1999. quinhentos anos depois da impressão do texto original. e meses depois dos eventos descritos em 'O Enigma do Quatro'. apareceu a primeira tradução completa do Hypnerotomachia.	
Caminhos e escolhas	o equilíbrio para uma vida mais feliz	Abílio dos Santos Diniz	9788535214314	2004	228	pt-BR			http://books.google.com/books/content?id=QPhlSu1ViTwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ponto de impacto		Dan Brown	9788599296011	2001	440	pt-BR		Quando um novo satélite da NASA encontra um estranho objeto escondido nas profundezas do Ártico. a agência espacial aproveita a descoberta para contornar uma séria crise econômica e de credibilidade. gerando sérias implicações para a política espacial norte-americana e. sobretudo. para a iminente eleição presidencial. Com o objetivo de verificar a autenticidade da descoberta. a Casa Branca envia a analista de Inteligência Rachel Sexton para o local. Acompanhada por uma equipe de especialistas. incluindo o carismático pesquisador Michael Tolland. Rachel se depara com indícios de uma fraude científica que ameaça abalar o planeta com uma profunda revelação. Antes que Rachel possa falar com o presidente dos Estados Unidos. ela e Michael são perseguidos por assassinos profissionais controlados por uma pessoa que é capaz de tudo para encobrir a verdade. Em uma fuga desesperada para salvar suas vidas. a única chance de sobrevivência para Rachel e Michael é desvendar a identidade de quem se esconde por trás de uma conspiração sem precedentes.	
