Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
Como Passar em Concursos Jurídicos		WANDER GARCIA	9788562168086		1247	pt-BR		Cada questão comentada deste livro vem acompanhada do dispositivo legal ou regulamentar em que o leitor encontrará a resposta e. no caso das demais questões comentadas. com orientação teórica sobre como se chega à resposta correta. E isso é feito não só em relação à alternativa correta. Quando se faz necessário todas as alternativas são comentadas. Com isso se terá acesso aos dispositivos legais e regulamentares pertinentes. bem como às orientações doutrinárias. jurisprudenciais e teóricas.	
									
Catavento Da Vida O / La Girandola Della Vita			9788589310031						
Pampa e cultura	de Fierro a Netto	Ligia Chiappini Moraes Leite. Maria Helena Martins. Sandra Jatahy Pesavento	9788570257901	2004	285	pt-BR			http://books.google.com/books/content?id=Ffp9AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Conversando com Deus		Neale Donald Walsch	9788500001406	2000	238	pt-BR		Perguntas do autor. Respostas de Deus. O livro de Neale Walsh mostra que é possível obter respostas diretas e inconfundíveis... de Deus! Questões sobre sexo. relacionamentos. culpa e pecado. perdão e redenção. dinheiro. trabalho. vida após a morte e outros assuntos do mistério da existência estão presentes nessa obra que é ao mesmo tempo polêmica e transformadora.	
Historiador. O		Elizabeth Kostova	9788573027105	2005	541	pt-BR		"Certa noite bem tarde. ao explorar a biblioteca do pai. uma jovem encontra um livro antigo e um maço de cartas amareladas. AS cartas estão todas endereçadas a ""Meu caro e desventurado sucessor"". e fazem mergulhar em um mundo com o qual ela nunca sonhou - um labirinto onde os segredos do passado de seu pai e o misterioso destino de sua mãe convergem para um mal inconcebível escondido nas profundezas da história. AS cartas fazem alusão a um dos poderes mais maléficos que a humanidade jamais conheceu. e a uma busca secular pela origem desse mal e sua erradicação. É Uma caça à verdade sobre Vlad. o Empalador. o governante medieval cujo bárbaro reinado gerou a lenda de Drácula. GErações de historiadores arriscaram reputação. sanidade. e até mesmo as próprias vidas para conhecer essa verdade. AGora. uma jovem precisa decidir continuar ou não essa busca - e seguir seu pai em uma caçada que quase o levou à ruína anos antes. quando ele era um estudante universitário cheio de energia e sua mãe ainda era viva. O Que a lenda de Vlad. o Empalador tem a ver com o mundo moderno? Será possível que o Drácula mítico tenha realmente existido - e continuado a viver. pelos séculos afora? A resposta a estas perguntas atravessa o tempo e as fronteiras enquanto primeiro o pai. e depois a filha perseguem pistas que os levam de empoeiradas bibliotecas de universidades norte-americanas a Istambul. Budapeste e os confins da Europa oriental. EM cada cidade. monastério e arquivo. em cartas e conversas secretas. emerge a horrível verdade sobre o feroz reinado de Vlad - e sobre um pacto atemporal que pode ter mantido sua monstruosa obra viva através dos tempos. JUntando indícios escondidos e textos até então desconhecidos. e interpretando as mensagens em código enredadas na trama das tradições monásticas medievais - bem como esquivando-se dos adversários que farão de tudo para proteger os milenares poderes de Vlad -. uma mulher desvenda o segredo de seu passado e enfrenta a própria definição do mal. O HIstoriador é uma aventura de proporções monumentais. uma narrativa incansável que mistura fato e fantasia. passado e presente. em um estilo de suspense quase intolerável - e impossível de esquecer."	
Medite e Viva Melhor			9788587011312						
Da Guerra Ao Porto Alegre 			9788562989094						
Meu guri			9788525418104						
Cancioneiro guasca	antigas danças. poemetos. quadras. trovas. dizeres. poesias históricas. desafios	João Simões Lopes Neto	9788520502235	1999	317	pt-BR			http://books.google.com/books/content?id=DOEdAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788477516910						
Fábulas		Esopo	9788525406590	1997	174	pt-BR		"O legendário Esopo foi um personagem quase mítico do século VI antes de Cristo (foi citado por Heródoto em sua História. por Aristófanes. Platão. além de diversos filósofos e autores gregos. Embora tivesse uma aparência estranha. possuía o dom da palavra e a habilidade de contar histórias onde os personagens eram animais e que invariavelmente terminavam com tiradas morais. Já no século V Antes de Cristo. as fábulas de Esopo eram editadas e citadas por vários autores. Resistindo ao tempo - já há mais de dois mil anos -. as Fábulas de Esopo inspiraram La Fontaine e foram objeto de milhares de citações através da história. A fábula ""A raposa e as uvas"" é um exemplo dos mais conhecidos através dos séculos entre as centenas de fábulas que produziu."	
Nana, Nene. Como Resolver O Problema Da Insonia Do Seu Filho			9788533620407						
Cita con la muerte		Agatha Christie	9788477511472	1994	177	es			
			9788525405319						
